"d20_Blue","d20_Bloody","d20_Purple.Sparkle","d20_Green.Sparkle","d20_Metal","d20_Yellow","d20_Orange"
16,15,13,2,NA,NA,NA
16,5,17,20,NA,NA,NA
9,6,16,20,NA,NA,NA
2,19,2,13,NA,NA,NA
19,18,12,10,NA,NA,NA
10,18,10,17,NA,NA,NA
13,18,1,7,NA,NA,NA
1,20,5,6,NA,NA,NA
9,1,19,5,NA,NA,NA
9,15,9,2,NA,NA,NA
18,6,15,20,NA,NA,NA
20,2,19,7,NA,NA,NA
20,7,2,19,NA,NA,NA
10,6,14,13,NA,NA,NA
6,10,15,18,NA,NA,NA
10,11,15,16,NA,NA,NA
5,17,4,NA,NA,NA,NA
11,18,18,NA,NA,NA,NA
11,4,12,NA,NA,NA,NA
11,11,12,NA,NA,NA,NA
10,16,3,NA,NA,NA,NA
7,4,11,NA,NA,NA,NA
4,10,13,NA,NA,NA,NA
12,19,14,NA,NA,NA,NA
12,5,11,NA,NA,NA,NA
2,8,5,NA,NA,NA,NA
11,19,10,NA,NA,NA,NA
18,3,5,NA,NA,NA,NA
12,20,2,NA,NA,NA,NA
11,NA,6,NA,NA,NA,NA
4,NA,15,NA,NA,NA,NA
13,NA,12,NA,NA,NA,NA
13,NA,2,NA,NA,NA,NA
18,NA,19,NA,NA,NA,NA
2,NA,15,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
